NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C01598,233167,MOTEL VILLA VERA,"COLIMA, COL",09/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02770465,240,4,05 RECIBIDO EN BODEGA DE REPARTO
C01598,233168,MOTEL VILLA VERA,"COLIMA, COL",09/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02770465,180,3,05 RECIBIDO EN BODEGA DE REPARTO
C08969,233170,JP HOTEL,"LAZARO CARDENAS, MCH",09/01/2026,14/01/2026,,MAS APRISA,,,8,
C08728,233172,HAMPTON INN SALAMANCA,"SALAMANCA, GTO",09/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02770458,300,5,07 EMBARQUE ENTREGADO
C06316,233173,BARCELO MEXICO REFORMA,"CDMX, DF",09/01/2026,13/01/2026,09/01/2026,SOLO FACTURA,NA,NA,106,Sin Informacion
C04003,233174,BARCELO PUERTO VALLARTA,"PUERTO VALLARTA, JAL",09/01/2026,13/01/2026,09/01/2026,SOLO FACTURA,NA,NA,86,Sin Informacion
C01906,233175,HOLIDAY INN EXPRESS GUADALAJARA ITESO (GDLIT),"ZAPOPAN, JAL",09/01/2026,13/01/2026,09/01/2026,LOCAL,NA,NA,6,Sin Informacion
C08629,233176,CANDLEWOOD SUITES CELAYA (BJXCA),"CELAYA, GTO",09/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02770439,400,5,Sin Informacion
C04082,233177,RAMADA PLAZA VERACRUZ,"BOCA DEL RIO, VER",09/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02770635,2937,33,05 RECIBIDO EN BODEGA DE REPARTO
C07282,233179,CITY PLUS GUADALAJARA EXPO (CEEGD),"ZAPOPAN, JAL",09/01/2026,13/01/2026,09/01/2026,LOCAL,NA,NA,8,Sin Informacion
C07258,233180,CITY EXPRESS ALTAMIRA (CEALT),"ALTAMIRA, TAM",09/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02770617,540,9,Sin Informacion
