NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C07241,232685,CITY EXPRESS MATAMOROS (CEMAT),20/12/2025,CASTORES,14270168763,1659,24/12/2025,,"MATAMOROS, TAM.",21,Sin Incidencias
C06315,232686,CHILENO BAY RESORT AND RESIDENCES(CBBR),18/12/2025,TRES GUERRAS,GLZ02749343,519.6,23/12/2025,24/12/2025,"LOS CABOS, BCS.",3,Sin Incidencias
C09328,232687,COMSAN,19/12/2025,CASTORES,0,0,04/01/1900,,"PUERTO PEÑASCO, SON.",10,Sin Incidencias
C08866,232689,CURIO A COLLECTION BY HILTON THE FIVES DOWNTOWN HOTEL & RESIDENCES (CUNCU),19/12/2025,FLETES DE REGRESO,119845G,164,24/12/2025,24/12/2025,"PLAYA DEL CARMEN, QR.",2,Sin Incidencias
C09328,232690,COMSAN,19/12/2025,CASTORES,0,0,04/01/1900,,"PUERTO PEÑASCO, SON.",3,Sin Incidencias
C08498,232694,GARDEN INN LEON POLIFORUM (BJXAD),19/12/2025,ONE,JALGDL 238229,605.68,21/12/2025,20/12/2025,"LEON, GTO.",12,Sin Incidencias
C05050,232696,HOTEL SURF OLAS ALTAS,19/12/2025,CASTORES,0,0,04/01/1900,,"BRISAS DE ZICATELA, OAX.",22,Sin Incidencias
C08821,232697,DOUBLETREE TOLUCA (TLCTL),19/12/2025,TRES GUERRAS,GLZ02751178,300,21/12/2025,23/12/2025,"TOLUCA, MEX.",5,Sin Incidencias
C03858,232698,HOTEL POSADA INN,19/12/2025,TRES GUERRAS,GLZ02751171,720,21/12/2025,26/12/2025,"LAGOS DE MORENO, JAL.",12,Sin Incidencias
C03626,232699,HOTEL TRUEBA,19/12/2025,TRES GUERRAS,GLZ02751534,1335,23/12/2025,22/12/2025,"ORIZABA, VER.",15,Sin Incidencias
C08111,232700,HOTEL AUTENTICO,19/12/2025,ONE,JALGDL 238197,307.6,21/12/2025,,"SAN PEDRO GARZA GARCIA, NL.",1,Cliente comenta que no pidio nada
C06540,232707,SUNVIVIA,19/12/2025,TINY PACK,GDL 44133,670,22/12/2025,23/12/2025,"MAZATLAN, SIN.",11,Sin Incidencias
C06540,232708,SUNVIVIA,19/12/2025,TINY PACK,GDL 44103,324.14,22/12/2025,23/12/2025,"MAZATLAN, SIN.",6,Sin Incidencias
C02198,232712,HOTEL SAN LUIS,19/12/2025,TINY PACK,GDL 44129,425.52,22/12/2025,22/12/2025,"CULIACAN, SIN.",8,Sin Incidencias
C07209,232714,CITY JUNIOR MEXICALI (CJMXL),19/12/2025,TRES GUERRAS,GLZ02751187,890,24/12/2025,23/12/2025,"MEXICALI, BC.",10,Sin Incidencias
C07318,232715,CITY EXPRESS LOS MOCHIS (CELMM),19/12/2025,TINY PACK,GDL 44132,526.9,22/12/2025,23/12/2025,"LOS MOCHIS, SIN.",10,Sin Incidencias
C07245,232716,CITY EXPRESS TUXPAN (CETXP),19/12/2025,TRES GUERRAS,GLZ02751246,1513,23/12/2025,23/12/2025,"TUXPAN, VER.",17,Sin Incidencias
C09428,232717,INSUMOS DE LIMPIEZA E HIGIENE,19/12/2025,TRES GUERRAS,GLZ02751256,3028.28,23/12/2025,23/12/2025,"TUXTLA GUTIERREZ, CHS.",50,Sin Incidencias
C07525,232718,HACIENDA SANTO CRISTO,20/12/2025,TRES GUERRAS,GLZ02751734,300,23/12/2025,22/12/2025,"ATLIXCO, PUE.",3,Sin Incidencias
C07525,232719,HACIENDA SANTO CRISTO,19/12/2025,TRES GUERRAS,GLZ02751734,100,22/12/2025,22/12/2025,"ATLIXCO, PUE.",1,Sin Incidencias
C09392,232720,MIKALLI PROPERTY MANAGEMENT,19/12/2025,SANCHEZ,2839994,374.42,21/12/2025,21/12/2025,"BAHIA DE BANDERAS, NAY.",4,Sin Incidencias
C09485,232721,GARDEN INN MEXICO POLANCO,19/12/2025,ONE,JALGDL 238199,508.78,21/12/2025,22/12/2025,"MIGUEL HIDALGO, CMX.",10,Sin Incidencias
C07235,232722,CITY EXPRESS MONTERREY NORTE (CEMTN),19/12/2025,ONE,JALGDL 238198,705.67,21/12/2025,26/12/2025,"APODACA, NL.",14,Sin Incidencias
CF0032,232723,WYNDHAM GARDEN CIUDAD OBREGON,16/12/2025,TINY PACK,GDL 44108,510.4,20/12/2025,24/12/2025,"CIUDAD OBREGON, SON.",8,Sin Incidencias
C02491,232724,CROWNE PLAZA LEON A0155975 (BJXCP),19/12/2025,TRES GUERRAS,GLZ02751198,600,21/12/2025,26/12/2025,"LEON, GTO.",10,Sin Incidencias
C07221,232725,CITY JUNIOR TIJUANA OTAY (CJTIO),19/12/2025,TRES GUERRAS,GLZ02751250,1068,24/12/2025,23/12/2025,"TIJUANA, BC.",12,Sin Incidencias
C07427,232726,INSUMOS DEL NORTE,19/12/2025,TRES GUERRAS,GLZ02751193,445,24/12/2025,22/12/2025,"CD JUAREZ, CHI.",1,Sin Incidencias
C09054,232727,ULIV,19/12/2025,ONE,JALGDL 238196,307.9,21/12/2025,23/12/2025,"CUAUHTEMOC CDMX, CMX.",1,Sin Incidencias
C09054,232728,ULIV,19/12/2025,ONE,JALGDL 238195,307.9,21/12/2025,,"CUAUHTEMOC, CMX.",100,Sin Incidencias
C06660,232739,MICROTEL SAN LUIS,20/12/2025,TRES GUERRAS,GLZ02752058,600,22/12/2025,22/12/2025,"SAN LUIS POTOSI, SLP.",10,Sin Incidencias
C07454,232740,MICROTEL IRAPUATO (A0191470),20/12/2025,TRES GUERRAS,GLZ02752047,540,22/12/2025,22/12/2025,"IRAPUATO, GTO.",9,Sin Incidencias
C07020,232741,ENCORE AGUASCALIENTES A0191473,20/12/2025,TRES GUERRAS,GLZ02752043,540,22/12/2025,22/12/2025,"AGUASCALIENTES, AGS.",9,Sin Incidencias
C04260,232742,ENCORE SAN LUIS A0191479,20/12/2025,TRES GUERRAS,GLZ02752050,600,22/12/2025,22/12/2025,"SAN LUIS POTOSI, SLP.",10,Sin Incidencias
C05818,232744,RAMADA ENCORE PUEBLA A0191476,20/12/2025,TRES GUERRAS,GLZ02752030,300,22/12/2025,22/12/2025,"CORONANGO, PUE.",5,Sin Incidencias
C09052,232745,RADISSON PUEBLA ANGELOPOLIS (145137),20/12/2025,TRES GUERRAS,GLZ02752021,660,22/12/2025,29/12/2025,"PUEBLA, PUE.",10,Sin Incidencias
C09052,232746,RADISSON PUEBLA ANGELOPOLIS (145137),20/12/2025,TRES GUERRAS,GLZ02752021,60,22/12/2025,29/12/2025,"PUEBLA, PUE.",7,Sin Incidencias
C07287,232750,CITY EXPRESS PUEBLA CENTRO (CEPUE),20/12/2025,TRES GUERRAS,GLZ02752039,600,22/12/2025,23/12/2025,"PUEBLA, PUE.",10,Sin Incidencias
C02250,232752,HOTEL LA VID,20/12/2025,TRES GUERRAS,GLZ02751982,900,22/12/2025,22/12/2025,"AGUASCALIENTES, AGS.",15,Sin Incidencias
C08997,232753,MARCOS ALFREDO RAMOS SANDOVAL,22/12/2025,TRES GUERRAS,GLZ02753609,445,27/12/2025,24/12/2025,"DELICIAS, CHI.",2,Sin Incidencias
C07957,232754,ENCORE MONTERREY,20/12/2025,TRES GUERRAS,GLZ02752065,623,23/12/2025,23/12/2025,"CIUDAD APODACA, NL.",7,Sin Incidencias
C08976,232755,HOTEL OPUS GRAND,20/12/2025,TRES GUERRAS,GLZ02752012,420,22/12/2025,22/12/2025,"TOLUCA, DF2.",8,Sin Incidencias
C03047,232756,HOTEL NUBE,20/12/2025,TRES GUERRAS,GLZ02752009,400,22/12/2025,23/12/2025,"PUEBLA, PUE.",4,Sin Incidencias
C07188,232757,CITY EXPRESS LEON (CELEO),20/12/2025,TRES GUERRAS,GLZ02752025,540,22/12/2025,26/12/2025,"LEON, GTO.",9,Sin Incidencias
C05558,232828,IBEROSTAR PUNTA MITA,05/01/2026,SANCHEZ,,,07/01/2026,,"BAHIA DE BANDERAS, NAY.",1,Sin Incidencias
C03030,232830,FIESTA INN AGUASCALIENTES PATIO  (FIAGP),05/01/2026,TRES  GUERRAS,,,07/01/2026,,"AGUASCALIENTES, AGS.",1,Sin Incidencias
C06778,232831,FIESTA INN MERIDA FIMER2,05/01/2026,TRES  GUERRAS,,,09/01/2026,,"MERIDA, YUC.",1,Sin Incidencias
C05498,232832,FIESTA AMERICANA EXPLOREAN KOHUNLICH EXKO,05/01/2026,CASTORES,,,09/01/2026,,"CHETUMAL, QR.",1,Sin Incidencias
C07427,232833,INSUMOS DEL NORTE,05/01/2026,TRES  GUERRAS,,,09/01/2026,,"CD JUAREZ, CHI.",1,Sin Incidencias
C04404,232834,FIESTA AMERICANA MERIDA FAMD,05/01/2026,TRES  GUERRAS,,,09/01/2026,,"MERIDA, YUC.",1,Sin Incidencias
C05494,232835,FIESTA INN INSURGENTES SUR (FITIN),05/01/2026,EXXPREZO,,,07/01/2026,,"MEXICO, DF.",2,Sin Incidencias
C06736,232836,FIESTA INN PLAZA CENTRAL  (FIPLC2),05/01/2026,EXXPREZO,,,07/01/2026,,"CIUDAD DE MEXICO, CMX.",4,Sin Incidencias
C05486,232837,FIESTA INN MEXICO CENTRO HISTORICO  (FICEN),05/01/2026,EXXPREZO,,,07/01/2026,,"MEXICO, DF.",11,Sin Incidencias
C06778,232838,FIESTA INN MERIDA FIMER2,05/01/2026,TRES  GUERRAS,,,09/01/2026,,"MERIDA, YUC.",4,Sin Incidencias
C04479,232839,FIESTA INN CUERNAVACA (FICUE),05/01/2026,TRES  GUERRAS,,,08/01/2026,,"CUERNAVACA, MOR.",3,Sin Incidencias
C05485,232840,FIESTA INN AEROPUERTO FIAPT,05/01/2026,EXXPREZO,,,07/01/2026,,"MEXICO, DF.",2,Sin Incidencias
C01553,232841,FIESTA INN PERINORTE (FIPER),05/01/2026,EXXPREZO,,,07/01/2026,,"TULTITLAN, MEX.",1,Sin Incidencias
C05936,232842,FIESTA INN PUERTO VALLARTA LA ISLA (FIPVT),05/01/2026,TRES  GUERRAS,,,07/01/2026,,"PUERTO VALLARTA, JAL.",4,Sin Incidencias
